From	Entry	Reviewed	Protein names	Gene Names	Length	Entry Name
SLC25A52	Q3SY17	reviewed	Mitochondrial nicotinamide adenine dinucleotide transporter SLC25A52 (Mitochondrial NAD(+) transporter SLC25A52) (Mitochondrial carrier triple repeat protein 2) (Solute carrier family 25 member 52)	SLC25A52 MCART2	297	S2552_HUMAN
TRAPPC8	Q9Y2L5	reviewed	Trafficking protein particle complex subunit 8 (Protein TRS85 homolog)	TRAPPC8 KIAA1012	1435	TPPC8_HUMAN
RNF125	Q96EQ8	reviewed	E3 ubiquitin-protein ligase RNF125 (EC 2.3.2.27) (RING finger protein 125) (T-cell RING activation protein 1) (TRAC-1)	RNF125	232	RN125_HUMAN
RNF138	Q8WVD3	reviewed	E3 ubiquitin-protein ligase RNF138 (EC 2.3.2.27) (Nemo-like kinase-associated RING finger protein) (NLK-associated RING finger protein) (hNARF) (RING finger protein 138) (RING-type E3 ubiquitin transferase RNF138)	RNF138 NARF HSD-4 HSD4	245	RN138_HUMAN
MEP1B	Q16820	reviewed	Meprin A subunit beta (EC 3.4.24.63) (Endopeptidase-2) (Meprin B) (N-benzoyl-L-tyrosyl-P-amino-benzoic acid hydrolase subunit beta) (PABA peptide hydrolase) (PPH beta)	MEP1B	701	MEP1B_HUMAN
GAREM1	Q9H706	reviewed	GRB2-associated and regulator of MAPK protein 1 (GRB2-associated and regulator of MAPK1)	GAREM1 C18orf11 FAM59A GAREM	876	GARE1_HUMAN
KLHL14	Q9P2G3	reviewed	Kelch-like protein 14 (Protein interactor of Torsin-1A) (Printor) (Protein interactor of torsinA)	KLHL14 KIAA1384	628	KLH14_HUMAN
CCDC178	Q5BJE1	reviewed	Coiled-coil domain-containing protein 178	CCDC178 C18orf34	867	CC178_HUMAN
ASXL3	Q9C0F0	reviewed	Putative Polycomb group protein ASXL3 (Additional sex combs-like protein 3)	ASXL3 KIAA1713	2248	ASXL3_HUMAN
NOL4	O94818	reviewed	Nucleolar protein 4 (Nucleolar-localized protein)	NOL4 NOLP HRIHFB2255	638	NOL4_HUMAN
DTNA	Q9Y4J8	reviewed	Dystrobrevin alpha (DTN-A) (Alpha-dystrobrevin) (Dystrophin-related protein 3)	DTNA DRP3	743	DTNA_HUMAN
MAPRE2	Q15555	reviewed	Microtubule-associated protein RP/EB family member 2 (APC-binding protein EB2) (End-binding protein 2) (EB2)	MAPRE2 RP1	327	MARE2_HUMAN
ZNF397	Q8NF99	reviewed	Zinc finger protein 397 (Zinc finger and SCAN domain-containing protein 15) (Zinc finger protein 47)	ZNF397 ZNF47 ZSCAN15	534	ZN397_HUMAN
ZSCAN30	Q86W11	reviewed	Zinc finger and SCAN domain-containing protein 30 (ZNF-WYM) (Zinc finger protein 397 opposite strand) (Zinc finger protein 397OS)	ZSCAN30 ZNF397OS	494	ZSC30_HUMAN
ZNF24	P17028	reviewed	Zinc finger protein 24 (Retinoic acid suppression protein A) (RSG-A) (Zinc finger and SCAN domain-containing protein 3) (Zinc finger protein 191) (Zinc finger protein KOX17)	ZNF24 KOX17 ZNF191 ZSCAN3	368	ZNF24_HUMAN
ZNF396	Q96N95	reviewed	Zinc finger protein 396 (Zinc finger and SCAN domain-containing protein 14)	ZNF396 ZSCAN14	335	ZN396_HUMAN
GALNT1	Q10472	reviewed	Polypeptide N-acetylgalactosaminyltransferase 1 (EC 2.4.1.41) (Polypeptide GalNAc transferase 1) (GalNAc-T1) (pp-GaNTase 1) (Protein-UDP acetylgalactosaminyltransferase 1) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 1) [Cleaved into: Polypeptide N-acetylgalactosaminyltransferase 1 soluble form]	GALNT1	559	GALT1_HUMAN
C18orf21	Q32NC0	reviewed	UPF0711 protein C18orf21 (HBV X-transactivated gene 13 protein) (HBV XAg-transactivated protein 13)	C18orf21 XTP13 PNAS-124 PNAS-131	220	CR021_HUMAN
RPRD1A	Q96P16	reviewed	Regulation of nuclear pre-mRNA domain-containing protein 1A (Cyclin-dependent kinase inhibitor 2B-related protein) (p15INK4B-related protein)	RPRD1A P15RS	312	RPR1A_HUMAN
SLC39A6	Q13433	reviewed	Zinc transporter ZIP6 (Estrogen-regulated protein LIV-1) (Solute carrier family 39 member 6) (Zrt- and Irt-like protein 6) (ZIP-6)	SLC39A6 LIV1 ZIP6	755	S39A6_HUMAN
ELP2	Q6IA86	reviewed	Elongator complex protein 2 (ELP2) (SHINC-2) (STAT3-interacting protein 1) (StIP1)	ELP2 STATIP1	826	ELP2_HUMAN
MOCOS	Q96EN8	reviewed	Molybdenum cofactor sulfurase (MCS) (MOS) (MoCo sulfurase) (hMCS) (EC 2.8.1.9) (Molybdenum cofactor sulfurtransferase)	MOCOS	888	MOCOS_HUMAN
FHOD3	Q2V2M9	reviewed	FH1/FH2 domain-containing protein 3 (Formactin-2) (Formin homolog overexpressed in spleen 2) (hFHOS2)	FHOD3 FHOS2 KIAA1695	1422	FHOD3_HUMAN
FHOD3	Q8IVF7	reviewed	Formin-like protein 3 (Formin homology 2 domain-containing protein 3) (WW domain-binding protein 3) (WBP-3)	FMNL3 FHOD3 FRL2 KIAA2014 WBP3	1028	FMNL3_HUMAN
TPGS2	Q68CL5	reviewed	Tubulin polyglutamylase complex subunit 2 (PGs2)	TPGS2 C18orf10 HMFN0601 L17	300	TPGS2_HUMAN
KIAA1328	Q86T90	reviewed	Protein hinderin	KIAA1328	577	K1328_HUMAN
CELF4	Q9BZC1	reviewed	CUGBP Elav-like family member 4 (CELF-4) (Bruno-like protein 4) (CUG-BP- and ETR-3-like factor 4) (RNA-binding protein BRUNOL-4)	CELF4 BRUNOL4	486	CELF4_HUMAN
PIK3C3	Q8NEB9	reviewed	Phosphatidylinositol 3-kinase catalytic subunit type 3 (PI3-kinase type 3) (PI3K type 3) (PtdIns-3-kinase type 3) (EC 2.7.1.137) (Phosphatidylinositol 3-kinase p100 subunit) (Phosphoinositide-3-kinase class 3) (hVps34)	PIK3C3 VPS34	887	PK3C3_HUMAN
RIT2	Q99578	reviewed	GTP-binding protein Rit2 (EC 3.6.5.2) (Ras-like protein expressed in neurons) (Ras-like without CAAX protein 2)	RIT2 RIN ROC2	217	RIT2_HUMAN
SYT4	Q9H2B2	reviewed	Synaptotagmin-4 (Synaptotagmin IV) (SytIV)	SYT4 KIAA1342	425	SYT4_HUMAN
SETBP1	Q9Y6X0	reviewed	SET-binding protein (SEB)	SETBP1 KIAA0437	1596	SETBP_HUMAN
SLC14A2	Q15849	reviewed	Urea transporter 2 (Solute carrier family 14 member 2) (Urea transporter, kidney)	SLC14A2 HUT2 UT2	920	UT2_HUMAN
SLC14A1	Q13336	reviewed	Urea transporter 1 (Solute carrier family 14 member 1) (Urea transporter, erythrocyte)	SLC14A1 HUT11 JK RACH1 UT1 UTE	389	UT1_HUMAN
EPG5	Q9HCE0	reviewed	Ectopic P granules protein 5 homolog	EPG5 KIAA1632	2579	EPG5_HUMAN
SIGLEC15	Q6ZMC9	reviewed	Sialic acid-binding Ig-like lectin 15 (Siglec-15) (CD33 antigen-like 3)	SIGLEC15 CD33L3	328	SIG15_HUMAN
PSTPIP2	Q9H939	reviewed	Proline-serine-threonine phosphatase-interacting protein 2 (PEST phosphatase-interacting protein 2)	PSTPIP2	334	PPIP2_HUMAN
ATP5F1A	P25705	reviewed	ATP synthase F(1) complex subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	ATP5F1A ATP5A ATP5A1 ATP5AL2 ATPM	553	ATPA_HUMAN
HAUS1	Q96CS2	reviewed	HAUS augmin-like complex subunit 1 (Coiled-coil domain-containing protein 5) (Enhancer of invasion-cluster) (HEI-C)	HAUS1 CCDC5 HEIC	278	HAUS1_HUMAN
ARK2N	Q96B23	reviewed	Protein ARK2N (ARKadia-like protein 1) (Arkadia (RNF111) N-terminal like PKA signaling regulator protein 2N)	ARK2N ARKL1 C18orf25	404	ARK2N_HUMAN
ARK2C	Q6ZSG1	reviewed	E3 ubiquitin-protein ligase ARK2C (EC 2.3.2.27) (RING finger protein 165) (RNF165)	ARK2C RNF165	346	ARK2C_HUMAN
LOXHD1	Q8IVV2	reviewed	Lipoxygenase homology domain-containing protein 1	LOXHD1	2067	LOXH1_HUMAN
ST8SIA5	O15466	reviewed	Alpha-2,8-sialyltransferase 8E (EC 2.4.99.-) (Sialyltransferase 8E) (SIAT8-E) (Sialyltransferase St8Sia V) (ST8SiaV)	ST8SIA5 SIAT8E	376	SIA8E_HUMAN
PIAS2	O75928	reviewed	E3 SUMO-protein ligase PIAS2 (EC 2.3.2.-) (Androgen receptor-interacting protein 3) (ARIP3) (DAB2-interacting protein) (DIP) (E3 SUMO-protein transferase PIAS2) (Msx-interacting zinc finger protein) (Miz1) (PIAS-NY protein) (Protein inhibitor of activated STAT x) (Protein inhibitor of activated STAT2)	PIAS2 PIASX	621	PIAS2_HUMAN
KATNAL2	Q8IYT4	reviewed	Katanin p60 ATPase-containing subunit A-like 2 (Katanin p60 subunit A-like 2) (EC 5.6.1.1) (p60 katanin-like 2)	KATNAL2	538	KATL2_HUMAN
ELOA2	Q8IYF1	reviewed	Elongin-A2 (EloA2) (RNA polymerase II transcription factor SIII subunit A2) (Transcription elongation factor B polypeptide 3B)	ELOA2 TCEB3B TCEB3L	753	ELOA2_HUMAN
HDHD2	Q9H0R4	reviewed	Haloacid dehalogenase-like hydrolase domain-containing protein 2	HDHD2	259	HDHD2_HUMAN
IER3IP1	Q9Y5U9	reviewed	Immediate early response 3-interacting protein 1	IER3IP1 HSPC039	82	IR3IP_HUMAN
SKOR2	Q2VWA4	reviewed	SKI family transcriptional corepressor 2 (Functional Smad-suppressing element on chromosome 18) (Fussel-18) (LBX1 corepressor 1-like protein) (Ladybird homeobox corepressor 1-like protein)	SKOR2 CORL2 FUSSEL18	1015	SKOR2_HUMAN
SMAD2	Q15796	reviewed	Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (JV18-1) (Mad-related protein 2) (hMAD-2) (SMAD family member 2) (SMAD 2) (Smad2) (hSMAD2)	SMAD2 MADH2 MADR2	467	SMAD2_HUMAN
ZBTB7C	A1YPR0	reviewed	Zinc finger and BTB domain-containing protein 7C (Affected by papillomavirus DNA integration in ME180 cells protein 1) (APM-1) (Zinc finger and BTB domain-containing protein 36) (Zinc finger protein 857C)	ZBTB7C APM1 ZBTB36 ZNF857C	619	ZBT7C_HUMAN
CTIF	O43310	reviewed	CBP80/20-dependent translation initiation factor	CTIF KIAA0427	598	CTIF_HUMAN
SMAD7	O15105	reviewed	Mothers against decapentaplegic homolog 7 (MAD homolog 7) (Mothers against DPP homolog 7) (Mothers against decapentaplegic homolog 8) (MAD homolog 8) (Mothers against DPP homolog 8) (SMAD family member 7) (SMAD 7) (Smad7) (hSMAD7)	SMAD7 MADH7 MADH8	426	SMAD7_HUMAN
DYM	Q7RTS9	reviewed	Dymeclin (Dyggve-Melchior-Clausen syndrome protein)	DYM	669	DYM_HUMAN
RPL17	P18621	reviewed	Large ribosomal subunit protein uL22 (60S ribosomal protein L17) (60S ribosomal protein L23) (PD-1)	RPL17	184	RL17_HUMAN
LIPG	Q9Y5X9	reviewed	Endothelial lipase (EC 3.1.1.3) (Endothelial cell-derived lipase) (EDL) (EL) (Phospholipase A1) (EC 3.1.1.32)	LIPG UNQ387/PRO719	500	LIPG_HUMAN
ACAA2	P42765	reviewed	3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acetyltransferase) (EC 2.3.1.9) (Acetyl-CoA acyltransferase) (Acyl-CoA hydrolase, mitochondrial) (EC 3.1.2.-, EC 3.1.2.1, EC 3.1.2.2) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase) (T1)	ACAA2	397	THIM_HUMAN
MYO5B	Q9ULV0	reviewed	Unconventional myosin-Vb	MYO5B KIAA1119	1848	MYO5B_HUMAN
CFAP53	Q96M91	reviewed	Cilia- and flagella-associated protein 53 (Coiled-coil domain-containing protein 11)	CFAP53 CCDC11	514	CFA53_HUMAN
MBD1	Q9UIS9	reviewed	Methyl-CpG-binding domain protein 1 (CXXC-type zinc finger protein 3) (Methyl-CpG-binding protein MBD1) (Protein containing methyl-CpG-binding domain 1)	MBD1 CXXC3 PCM1	605	MBD1_HUMAN
CXXC1	Q9P0U4	reviewed	CXXC-type zinc finger protein 1 (CpG-binding protein) (PHD finger and CXXC domain-containing protein 1)	CXXC1 CFP1 CGBP PCCX1 PHF18	656	CXXC1_HUMAN
SKA1	Q96BD8	reviewed	SKA complex subunit 1 (Spindle and kinetochore-associated protein 1)	SKA1 C18orf24	255	SKA1_HUMAN
MAPK4	P31152	reviewed	Mitogen-activated protein kinase 4 (MAP kinase 4) (MAPK 4) (EC 2.7.11.24) (Extracellular signal-regulated kinase 4) (ERK-4) (MAP kinase isoform p63) (p63-MAPK)	MAPK4 ERK4 PRKM4	587	MK04_HUMAN
ME2	P23368	reviewed	NAD-dependent malic enzyme, mitochondrial (NAD-ME) (EC 1.1.1.38) (Malic enzyme 2)	ME2	584	MAOM_HUMAN
ELAC1	Q9H777	reviewed	Zinc phosphodiesterase ELAC protein 1 (EC 3.1.26.11) (Deleted in Ma29) (ElaC homolog protein 1) (Ribonuclease Z 1) (RNase Z 1) (tRNA 3 endonuclease 1) (tRNase Z 1)	ELAC1 D29	363	RNZ1_HUMAN
SMAD4	Q13485	reviewed	Mothers against decapentaplegic homolog 4 (MAD homolog 4) (Mothers against DPP homolog 4) (Deletion target in pancreatic carcinoma 4) (SMAD family member 4) (SMAD 4) (Smad4) (hSMAD4)	SMAD4 DPC4 MADH4	552	SMAD4_HUMAN
MEX3C	Q5U5Q3	reviewed	RNA-binding E3 ubiquitin-protein ligase MEX3C (EC 2.3.2.27) (RING finger and KH domain-containing protein 2) (RING finger protein 194) (RING-type E3 ubiquitin transferase MEX3C)	MEX3C RKHD2 RNF194 BM-013	659	MEX3C_HUMAN
DCC	P43146	reviewed	Netrin receptor DCC (Colorectal cancer suppressor) (Immunoglobulin superfamily DCC subclass member 1) (Tumor suppressor protein DCC)	DCC IGDCC1	1447	DCC_HUMAN
MBD2	Q9UBB5	reviewed	Methyl-CpG-binding domain protein 2 (Demethylase) (DMTase) (Methyl-CpG-binding protein MBD2)	MBD2	411	MBD2_HUMAN
POLI	Q9UNA4	reviewed	DNA polymerase iota (EC 2.7.7.7) (Eta2) (RAD30 homolog B)	POLI RAD30B	740	POLI_HUMAN
STARD6	P59095	reviewed	StAR-related lipid transfer protein 6 (START domain-containing protein 6) (StARD6)	STARD6	220	STAR6_HUMAN
C18orf54	Q8IYD9	reviewed	Lung adenoma susceptibility protein 2	LAS2 C18orf54	372	LAS2_HUMAN
DYNAP	Q8N1N2	reviewed	Dynactin-associated protein (Full)	DYNAP C18orf26	210	DYNAP_HUMAN
RAB27B	O00194	reviewed	Ras-related protein Rab-27B (EC 3.6.5.2) (C25KG)	RAB27B	218	RB27B_HUMAN
CCDC68	Q9H2F9	reviewed	Coiled-coil domain-containing protein 68 (Cutaneous T-cell lymphoma-associated antigen se57-1) (CTCL-associated antigen se57-1)	CCDC68	335	CCD68_HUMAN
TCF4	P15884	reviewed	Transcription factor 4 (TCF-4) (Class B basic helix-loop-helix protein 19) (bHLHb19) (Immunoglobulin transcription factor 2) (ITF-2) (SL3-3 enhancer factor 2) (SEF-2)	TCF4 BHLHB19 ITF2 SEF2	667	ITF2_HUMAN
TCF4	Q9NQB0	reviewed	Transcription factor 7-like 2 (HMG box transcription factor 4) (T-cell-specific transcription factor 4) (T-cell factor 4) (TCF-4) (hTCF-4)	TCF7L2 TCF4	619	TF7L2_HUMAN
TXNL1	O43396	reviewed	Thioredoxin-like protein 1 (32 kDa thioredoxin-related protein)	TXNL1 TRP32 TXL TXNL	289	TXNL1_HUMAN
WDR7	Q9Y4E6	reviewed	WD repeat-containing protein 7 (Rabconnectin-3 beta) (TGF-beta resistance-associated protein TRAG)	WDR7 KIAA0541 TRAG	1490	WDR7_HUMAN
BOD1L2	Q8IYS8	reviewed	Biorientation of chromosomes in cell division protein 1-like 2 (Biorientation of chromosomes in cell division protein 1 pseudogene) (Protein FAM44C)	BOD1L2 BOD1P FAM44C	172	BD1L2_HUMAN
ST8SIA3	O43173	reviewed	Alpha-N-acetylneuraminate alpha-2,8-sialyltransferase ST8SIA3 (EC 2.4.3.-) (Alpha-2,8-sialyltransferase 8C) (Alpha-2,8-sialyltransferase III) (Ganglioside GD3 synthase ST8SIA3) (EC 2.4.3.8) (ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3) (Sia-a2,3-Gal-b1,4-Glc-NAc-R:a2,8-sialyltransferase) (hST8Sia III) (Sialyltransferase 8C) (SIAT8-C) (Sialyltransferase St8Sia III) (ST8SiaIII)	ST8SIA3 SIAT8C	380	SIA8C_HUMAN
ONECUT2	O95948	reviewed	One cut domain family member 2 (Hepatocyte nuclear factor 6-beta) (HNF-6-beta) (One cut homeobox 2) (Transcription factor ONECUT-2) (OC-2)	ONECUT2 HNF6B	504	ONEC2_HUMAN
FECH	P22830	reviewed	Ferrochelatase, mitochondrial (EC 4.98.1.1) (Heme synthase) (Protoheme ferro-lyase)	FECH	423	HEMH_HUMAN
NARS1	O43776	reviewed	Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS) (Asparaginyl-tRNA synthetase 1)	NARS1 NARS NRS	548	SYNC_HUMAN
ATP8B1	O43520	reviewed	Phospholipid-transporting ATPase IC (EC 7.6.2.1) (ATPase class I type 8B member 1) (Familial intrahepatic cholestasis type 1) (P4-ATPase flippase complex alpha subunit ATP8B1)	ATP8B1 ATPIC FIC1 PFIC	1251	AT8B1_HUMAN
NEDD4L	Q96PU5	reviewed	E3 ubiquitin-protein ligase NEDD4-like (EC 2.3.2.26) (EC 2.3.2.36) (HECT-type E3 ubiquitin transferase NED4L) (NEDD4.2) (Nedd4-2)	NEDD4L KIAA0439 NEDL3	975	NED4L_HUMAN
ALPK2	Q86TB3	reviewed	Alpha-protein kinase 2 (EC 2.7.11.1) (Heart alpha-protein kinase)	ALPK2 HAK	2170	ALPK2_HUMAN
MALT1	Q9UDY8	reviewed	Mucosa-associated lymphoid tissue lymphoma translocation protein 1 (EC 3.4.22.-) (MALT lymphoma-associated translocation) (Paracaspase)	MALT1 MLT	824	MALT1_HUMAN
ZNF532	Q9HCE3	reviewed	Zinc finger protein 532	ZNF532 KIAA1629	1301	ZN532_HUMAN
SEC11C	Q9BY50	reviewed	Signal peptidase complex catalytic subunit SEC11C (EC 3.4.21.89) (Microsomal signal peptidase 21 kDa subunit) (SPase 21 kDa subunit) (SEC11 homolog C) (SEC11-like protein 3) (SPC21)	SEC11C SEC11L3 SPC21 SPCS4C	192	SC11C_HUMAN
GRP	P07492	reviewed	Gastrin-releasing peptide (GRP) [Cleaved into: Neuromedin-C (GRP-10) (GRP18-27)]	GRP	148	GRP_HUMAN
GRP	Q3ZCW2	reviewed	Galectin-related protein (Galectin-like protein) (Lectin galactoside-binding-like protein)	LGALSL GRP HSPC159	172	LEGL_HUMAN
RAX	O75569	reviewed	Interferon-inducible double-stranded RNA-dependent protein kinase activator A (PKR-associated protein X) (PKR-associating protein X) (Protein activator of the interferon-induced protein kinase) (Protein kinase, interferon-inducible double-stranded RNA-dependent activator)	PRKRA PACT RAX HSD-14 HSD14	313	PRKRA_HUMAN
RAX	Q9Y2V3	reviewed	Retinal homeobox protein Rx (Retina and anterior neural fold homeobox protein)	RAX RX	346	RX_HUMAN
CPLX4	Q7Z7G2	reviewed	Complexin-4 (Complexin IV) (CPX IV)	CPLX4	160	CPLX4_HUMAN
LMAN1	P49257	reviewed	Protein ERGIC-53 (ER-Golgi intermediate compartment 53 kDa protein) (Gp58) (Intracellular mannose-specific lectin MR60) (Lectin mannose-binding 1)	LMAN1 ERGIC53 F5F8D	510	LMAN1_HUMAN
CCBE1	Q6UXH8	reviewed	Collagen and calcium-binding EGF domain-containing protein 1 (Full of fluid protein homolog)	CCBE1 KIAA1983 UNQ1921/PRO4395	406	CCBE1_HUMAN
PMAIP1	Q13794	reviewed	Phorbol-12-myristate-13-acetate-induced protein 1 (PMA-induced protein 1) (Immediate-early-response protein APR) (Protein Noxa)	PMAIP1 NOXA	54	APR_HUMAN
CDH20	Q9HBT6	reviewed	Cadherin-20	CDH20 CDH7L3	801	CAD20_HUMAN
CDH20	Q9UN71	reviewed	Protocadherin gamma-B4 (PCDH-gamma-B4) (Cadherin-20) (Fibroblast cadherin-2)	PCDHGB4 CDH20 FIB2	923	PCDGG_HUMAN
RNF152	Q8N8N0	reviewed	E3 ubiquitin-protein ligase RNF152 (EC 2.3.2.27) (RING finger protein 152) (RING-type E3 ubiquitin transferase RNF152)	RNF152	203	RN152_HUMAN
PIGN	O95427	reviewed	GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-) (GPI-ethanolamine transferase I) (GPI-ETI) (MCD4 homolog) (Phosphatidylinositol-glycan biosynthesis class N protein) (PIG-N)	PIGN MCD4	931	PIGN_HUMAN
RELCH	Q9P260	reviewed	RAB11-binding protein RELCH (LisH domain and HEAT repeat-containing protein KIAA1468) (RAB11 binding and LisH domain, coiled-coil and HEAT repeat-containing) (RAB11-binding protein containing LisH, coiled-coil, and HEAT repeats)	RELCH KIAA1468	1216	RELCH_HUMAN
TNFRSF11A	Q9Y6Q6	reviewed	Tumor necrosis factor receptor superfamily member 11A (Osteoclast differentiation factor receptor) (ODFR) (Receptor activator of NF-KB) (CD antigen CD265)	TNFRSF11A RANK	616	TNR11_HUMAN
ZCCHC2	Q9C0B9	reviewed	Zinc finger CCHC domain-containing protein 2	ZCCHC2 C18orf49 KIAA1744	1178	ZCHC2_HUMAN
PHLPP1	O60346	reviewed	PH domain leucine-rich repeat-containing protein phosphatase 1 (EC 3.1.3.16) (Pleckstrin homology domain-containing family E member 1) (PH domain-containing family E member 1) (Suprachiasmatic nucleus circadian oscillatory protein) (hSCOP)	PHLPP1 KIAA0606 PHLPP PLEKHE1 SCOP	1717	PHLP1_HUMAN
BCL2	P10415	reviewed	Apoptosis regulator Bcl-2	BCL2	239	BCL2_HUMAN
KDSR	Q06136	reviewed	3-ketodihydrosphingosine reductase (KDS reductase) (EC 1.1.1.102) (3-dehydrosphinganine reductase) (Follicular variant translocation protein 1) (FVT-1) (Short chain dehydrogenase/reductase family 35C member 1)	KDSR FVT1 SDR35C1	332	KDSR_HUMAN
VPS4B	O75351	reviewed	Vacuolar protein sorting-associated protein 4B (EC 3.6.4.6) (Cell migration-inducing gene 1 protein) (Suppressor of K(+) transport growth defect 1) (Protein SKD1)	VPS4B SKD1 VPS42 MIG1	444	VPS4B_HUMAN
SERPINB5	P36952	reviewed	Serpin B5 (Maspin) (Peptidase inhibitor 5) (PI-5)	SERPINB5 PI5	375	SPB5_HUMAN
SERPINB12	Q96P63	reviewed	Serpin B12	SERPINB12	405	SPB12_HUMAN
SERPINB13	Q9UIV8	reviewed	Serpin B13 (HaCaT UV-repressible serpin) (Hurpin) (Headpin) (Peptidase inhibitor 13) (PI-13) (Proteinase inhibitor 13)	SERPINB13 PI13	391	SPB13_HUMAN
SERPINB4	P48594	reviewed	Serpin B4 (Leupin) (Peptidase inhibitor 11) (PI-11) (Squamous cell carcinoma antigen 2) (SCCA-2)	SERPINB4 PI11 SCCA2	390	SPB4_HUMAN
SERPINB3	P29508	reviewed	Serpin B3 (Protein T4-A) (Squamous cell carcinoma antigen 1) (SCCA-1)	SERPINB3 SCCA SCCA1	390	SPB3_HUMAN
SERPINB11	Q96P15	reviewed	Serpin B11	SERPINB11	392	SPB11_HUMAN
SERPINB7	O75635	reviewed	Serpin B7 (Megsin) (TP55)	SERPINB7	380	SPB7_HUMAN
SERPINB2	P05120	reviewed	Plasminogen activator inhibitor 2 (PAI-2) (Monocyte Arg-serpin) (Placental plasminogen activator inhibitor) (Serpin B2) (Urokinase inhibitor)	SERPINB2 PAI2 PLANH2	415	PAI2_HUMAN
SERPINB10	P48595	reviewed	Serpin B10 (Bomapin) (Peptidase inhibitor 10) (PI-10)	SERPINB10 PI10	397	SPB10_HUMAN
HMSD	A8MTL9	reviewed	Serpin-like protein HMSD (Minor histocompatibility protein HMSD) (Minor histocompatibility serpin domain-containing protein)	HMSD	139	HMSD_HUMAN
HMSD	P0C7T4	reviewed	Minor histocompatibility protein HMSD variant form (HSMD-v) [Cleaved into: Minor histocompatibility antigen ACC-6 (mHA ACC-6)]	HMSD C18orf53	53	HMSDV_HUMAN
SERPINB8	P50452	reviewed	Serpin B8 (Cytoplasmic antiproteinase 2) (CAP-2) (CAP2) (Peptidase inhibitor 8) (PI-8)	SERPINB8 PI8	374	SPB8_HUMAN
CDH7	Q9ULB5	reviewed	Cadherin-7	CDH7 CDH7L1	785	CADH7_HUMAN
CDH19	Q96JQ0	reviewed	Protocadherin-16 (Cadherin-19) (Cadherin-25) (Fibroblast cadherin-1) (Protein dachsous homolog 1)	DCHS1 CDH19 CDH25 FIB1 KIAA1773 PCDH16	3298	PCD16_HUMAN
CDH19	Q9H159	reviewed	Cadherin-19	CDH19 CDH7L2 UNQ478/PRO941	772	CAD19_HUMAN
DSEL	Q8IZU8	reviewed	Dermatan-sulfate epimerase-like protein (EC 5.1.-.-)	DSEL C18orf4 NCAG1	1212	DSEL_HUMAN
TMX3	Q96JJ7	reviewed	Protein disulfide-isomerase TMX3 (EC 5.3.4.1) (Thioredoxin domain-containing protein 10) (Thioredoxin-related transmembrane protein 3)	TMX3 KIAA1830 TXNDC10	454	TMX3_HUMAN
CCDC102B	Q68D86	reviewed	Coiled-coil domain-containing protein 102B	CCDC102B C18orf14	513	C102B_HUMAN
DOK6	Q6PKX4	reviewed	Docking protein 6 (Downstream of tyrosine kinase 6)	DOK6 DOK5L	331	DOK6_HUMAN
CD226	Q15762	reviewed	CD226 antigen (DNAX accessory molecule 1) (DNAM-1) (CD antigen CD226)	CD226 DNAM1	336	CD226_HUMAN
RTTN	Q86VV8	reviewed	Rotatin	RTTN	2226	RTTN_HUMAN
SOCS6	O14512	reviewed	Suppressor of cytokine signaling 7 (SOCS-7) (Nck, Ash and phospholipase C gamma-binding protein) (Nck-associated protein 4) (NAP-4)	SOCS7 NAP4 SOCS6	581	SOCS7_HUMAN
SOCS6	O14544	reviewed	Suppressor of cytokine signaling 6 (SOCS-6) (Cytokine-inducible SH2 protein 4) (CIS-4) (Suppressor of cytokine signaling 4) (SOCS-4)	SOCS6 CIS4 SOCS4	535	SOCS6_HUMAN
GTSCR1	Q86UQ5	reviewed	Gilles de la Tourette syndrome chromosomal region candidate gene 1 protein	GTSCR1	136	GTSC1_HUMAN
CBLN2	Q8IUK8	reviewed	Cerebellin-2	CBLN2 UNQ1892/PRO4338	224	CBLN2_HUMAN
NETO1	Q8TDF5	reviewed	Neuropilin and tolloid-like protein 1 (Brain-specific transmembrane protein containing 2 CUB and 1 LDL-receptor class A domains protein 1)	NETO1 BTCL1	533	NETO1_HUMAN
FBXO15	Q8NCQ5	reviewed	F-box only protein 15	FBXO15 FBX15	510	FBX15_HUMAN
TIMM21	Q9BVV7	reviewed	Mitochondrial import inner membrane translocase subunit Tim21 (TIM21-like protein, mitochondrial)	TIMM21 C18orf55 TIM21 HSPC154	248	TIM21_HUMAN
CYB5A	P00167	reviewed	Cytochrome b5 (Microsomal cytochrome b5 type A) (MCB5)	CYB5A CYB5	134	CYB5_HUMAN
C18orf63	Q68DL7	reviewed	Uncharacterized protein C18orf63	C18orf63	685	CR063_HUMAN
DIPK1C	Q0P6D2	reviewed	Divergent protein kinase domain 1C (Protein FAM69C)	DIPK1C C18orf51 FAM69C	419	DIK1C_HUMAN
